paper_id,dimension,gold_risk,ambiguous,source
paper_01,parallel_trends,high,1,agree
paper_01,no_anticipation,medium,1,agree
paper_01,treatment_timing,medium,1,agree
paper_01,treatment_definition_sutva,medium,1,agree
paper_01,control_group,medium,1,agree
paper_01,specification,medium,0,agree
paper_01,inference,medium,0,agree
paper_01,sample_period,medium,0,agree
paper_01,concurrent_policies,medium,1,agreed
paper_01,robustness_placebo,medium,0,agree
paper_01,data_measurement,medium,0,agree
paper_03,parallel_trends,medium,1,agree
paper_03,no_anticipation,medium,0,agree
paper_03,treatment_timing,medium,1,agreed
paper_03,treatment_definition_sutva,medium,0,agree
paper_03,control_group,medium,1,agree
paper_03,specification,medium,0,agree
paper_03,inference,high,0,agree
paper_03,sample_period,medium,0,agree
paper_03,concurrent_policies,medium,0,agree
paper_03,robustness_placebo,medium,0,agree
paper_03,data_measurement,medium,0,agreed
paper_07,parallel_trends,medium,1,agree
paper_07,no_anticipation,low,1,agreed
paper_07,treatment_timing,low,1,agree
paper_07,treatment_definition_sutva,medium,1,agreed
paper_07,control_group,medium,1,agreed
paper_07,specification,medium,0,agreed
paper_07,inference,medium,0,agree
paper_07,sample_period,medium,0,agree
paper_07,concurrent_policies,medium,0,agree
paper_07,robustness_placebo,medium,0,agree
paper_07,data_measurement,low,0,agree
paper_08,parallel_trends,medium,1,agree
paper_08,no_anticipation,medium,1,agreed
paper_08,treatment_timing,medium,1,agreed
paper_08,treatment_definition_sutva,medium,1,agree
paper_08,control_group,medium,1,agree
paper_08,specification,medium,0,agreed
paper_08,inference,medium,0,agree
paper_08,sample_period,medium,0,agree
paper_08,concurrent_policies,medium,1,agree
paper_08,robustness_placebo,medium,0,agree
paper_08,data_measurement,medium,0,agreed
paper_10,parallel_trends,low,1,agreed
paper_10,no_anticipation,low,0,agree
paper_10,treatment_timing,medium,1,agreed
paper_10,treatment_definition_sutva,medium,1,agree
paper_10,control_group,low,0,agree
paper_10,specification,medium,0,agree
paper_10,inference,medium,0,agree
paper_10,sample_period,medium,0,agree
paper_10,concurrent_policies,medium,0,agree
paper_10,robustness_placebo,medium,0,agree
paper_10,data_measurement,low,0,agree
