paper_id,dimension,gold_risk,ambiguous,source
paper_01,concurrent_policies,medium,0,adj:B
paper_01,control_group,medium,0,agree
paper_01,data_measurement,medium,1,adj:both
paper_01,inference,medium,0,adj:B
paper_01,no_anticipation,medium,0,adj:B
paper_01,parallel_trends,high,1,adj:B
paper_01,robustness_placebo,medium,0,agree
paper_01,sample_period,medium,0,adj:B
paper_01,specification,medium,0,agree
paper_01,treatment_definition_sutva,medium,0,adj:B
paper_01,treatment_timing,low,0,agree
paper_03,concurrent_policies,low,0,adj:A
paper_03,control_group,medium,0,agree
paper_03,data_measurement,low,0,agree
paper_03,inference,high,1,adj:A
paper_03,no_anticipation,medium,0,adj:B
paper_03,parallel_trends,low,0,agree
paper_03,robustness_placebo,low,0,agree
paper_03,sample_period,medium,0,adj:B
paper_03,specification,medium,1,adj:both
paper_03,treatment_definition_sutva,medium,0,agree
paper_03,treatment_timing,medium,0,adj:B
paper_07,concurrent_policies,low,1,adj:A
paper_07,control_group,low,0,agree
paper_07,data_measurement,low,0,agree
paper_07,inference,medium,0,agree
paper_07,no_anticipation,low,0,adj:A
paper_07,parallel_trends,low,1,adj:A
paper_07,robustness_placebo,low,0,agree
paper_07,sample_period,low,0,agree
paper_07,specification,low,0,agree
paper_07,treatment_definition_sutva,medium,0,agree
paper_07,treatment_timing,low,0,adj:A
paper_08,concurrent_policies,medium,0,agree
paper_08,control_group,medium,0,agree
paper_08,data_measurement,low,0,adj:B
paper_08,inference,low,0,adj:A
paper_08,no_anticipation,low,1,adj:A
paper_08,parallel_trends,medium,1,adj:A
paper_08,robustness_placebo,medium,0,agree
paper_08,sample_period,low,0,agree
paper_08,specification,low,0,agree
paper_08,treatment_definition_sutva,medium,0,agree
paper_08,treatment_timing,low,1,adj:A
paper_10,concurrent_policies,low,1,adj:A
paper_10,control_group,low,0,agree
paper_10,data_measurement,low,0,agree
paper_10,inference,low,0,adj:A
paper_10,no_anticipation,medium,0,adj:B
paper_10,parallel_trends,low,0,agree
paper_10,robustness_placebo,low,0,agree
paper_10,sample_period,low,0,adj:B
paper_10,specification,low,0,agree
paper_10,treatment_definition_sutva,medium,0,agree
paper_10,treatment_timing,low,1,adj:B
