paper_id,dimension,risk
paper_01,parallel_trends,low
paper_01,no_anticipation,low
paper_01,treatment_timing,low
paper_01,treatment_definition_sutva,high
paper_01,control_group,low
paper_01,specification,low
paper_01,inference,low
paper_01,sample_period,low
paper_01,concurrent_policies,low
paper_01,robustness_placebo,low
paper_01,data_measurement,low
paper_03,parallel_trends,low
paper_03,no_anticipation,low
paper_03,treatment_timing,low
paper_03,treatment_definition_sutva,low
paper_03,control_group,low
paper_03,specification,low
paper_03,inference,low
paper_03,sample_period,low
paper_03,concurrent_policies,low
paper_03,robustness_placebo,low
paper_03,data_measurement,low
paper_07,parallel_trends,low
paper_07,no_anticipation,high
paper_07,treatment_timing,low
paper_07,treatment_definition_sutva,low
paper_07,control_group,low
paper_07,specification,low
paper_07,inference,low
paper_07,sample_period,low
paper_07,concurrent_policies,low
paper_07,robustness_placebo,medium
paper_07,data_measurement,low
paper_08,parallel_trends,low
paper_08,no_anticipation,low
paper_08,treatment_timing,low
paper_08,treatment_definition_sutva,low
paper_08,control_group,low
paper_08,specification,low
paper_08,inference,low
paper_08,sample_period,low
paper_08,concurrent_policies,low
paper_08,robustness_placebo,low
paper_08,data_measurement,low
paper_10,parallel_trends,low
paper_10,no_anticipation,low
paper_10,treatment_timing,low
paper_10,treatment_definition_sutva,low
paper_10,control_group,low
paper_10,specification,low
paper_10,inference,low
paper_10,sample_period,low
paper_10,concurrent_policies,low
paper_10,robustness_placebo,low
paper_10,data_measurement,low
paper_100,parallel_trends,low
paper_100,no_anticipation,low
paper_100,treatment_timing,low
paper_100,treatment_definition_sutva,high
paper_100,control_group,low
paper_100,specification,low
paper_100,inference,low
paper_100,sample_period,low
paper_100,concurrent_policies,low
paper_100,robustness_placebo,high
paper_100,data_measurement,low
paper_101,parallel_trends,low
paper_101,no_anticipation,low
paper_101,treatment_timing,low
paper_101,treatment_definition_sutva,low
paper_101,control_group,low
paper_101,specification,low
paper_101,inference,low
paper_101,sample_period,low
paper_101,concurrent_policies,low
paper_101,robustness_placebo,high
paper_101,data_measurement,low
paper_102,parallel_trends,low
paper_102,no_anticipation,low
paper_102,treatment_timing,low
paper_102,treatment_definition_sutva,low
paper_102,control_group,low
paper_102,specification,low
paper_102,inference,low
paper_102,sample_period,low
paper_102,concurrent_policies,low
paper_102,robustness_placebo,high
paper_102,data_measurement,low
paper_107,parallel_trends,low
paper_107,no_anticipation,high
paper_107,treatment_timing,low
paper_107,treatment_definition_sutva,low
paper_107,control_group,low
paper_107,specification,low
paper_107,inference,low
paper_107,sample_period,low
paper_107,concurrent_policies,low
paper_107,robustness_placebo,high
paper_107,data_measurement,low
paper_113,parallel_trends,low
paper_113,no_anticipation,low
paper_113,treatment_timing,low
paper_113,treatment_definition_sutva,low
paper_113,control_group,low
paper_113,specification,low
paper_113,inference,low
paper_113,sample_period,low
paper_113,concurrent_policies,low
paper_113,robustness_placebo,low
paper_113,data_measurement,low
paper_120,parallel_trends,low
paper_120,no_anticipation,low
paper_120,treatment_timing,low
paper_120,treatment_definition_sutva,low
paper_120,control_group,low
paper_120,specification,low
paper_120,inference,low
paper_120,sample_period,low
paper_120,concurrent_policies,low
paper_120,robustness_placebo,low
paper_120,data_measurement,low
paper_124,parallel_trends,low
paper_124,no_anticipation,low
paper_124,treatment_timing,low
paper_124,treatment_definition_sutva,low
paper_124,control_group,low
paper_124,specification,low
paper_124,inference,low
paper_124,sample_period,low
paper_124,concurrent_policies,low
paper_124,robustness_placebo,medium
paper_124,data_measurement,low
paper_126,parallel_trends,low
paper_126,no_anticipation,low
paper_126,treatment_timing,low
paper_126,treatment_definition_sutva,low
paper_126,control_group,low
paper_126,specification,low
paper_126,inference,low
paper_126,sample_period,low
paper_126,concurrent_policies,low
paper_126,robustness_placebo,low
paper_126,data_measurement,low
paper_127,parallel_trends,low
paper_127,no_anticipation,low
paper_127,treatment_timing,low
paper_127,treatment_definition_sutva,medium
paper_127,control_group,low
paper_127,specification,low
paper_127,inference,low
paper_127,sample_period,low
paper_127,concurrent_policies,low
paper_127,robustness_placebo,low
paper_127,data_measurement,low
paper_128,parallel_trends,low
paper_128,no_anticipation,low
paper_128,treatment_timing,low
paper_128,treatment_definition_sutva,low
paper_128,control_group,low
paper_128,specification,low
paper_128,inference,low
paper_128,sample_period,low
paper_128,concurrent_policies,low
paper_128,robustness_placebo,low
paper_128,data_measurement,low
paper_129,parallel_trends,low
paper_129,no_anticipation,high
paper_129,treatment_timing,low
paper_129,treatment_definition_sutva,high
paper_129,control_group,low
paper_129,specification,low
paper_129,inference,low
paper_129,sample_period,low
paper_129,concurrent_policies,low
paper_129,robustness_placebo,low
paper_129,data_measurement,low
paper_130,parallel_trends,low
paper_130,no_anticipation,low
paper_130,treatment_timing,low
paper_130,treatment_definition_sutva,medium
paper_130,control_group,low
paper_130,specification,low
paper_130,inference,low
paper_130,sample_period,low
paper_130,concurrent_policies,low
paper_130,robustness_placebo,low
paper_130,data_measurement,low
paper_134,parallel_trends,low
paper_134,no_anticipation,high
paper_134,treatment_timing,low
paper_134,treatment_definition_sutva,medium
paper_134,control_group,low
paper_134,specification,low
paper_134,inference,low
paper_134,sample_period,low
paper_134,concurrent_policies,low
paper_134,robustness_placebo,low
paper_134,data_measurement,low
paper_136,parallel_trends,low
paper_136,no_anticipation,high
paper_136,treatment_timing,low
paper_136,treatment_definition_sutva,low
paper_136,control_group,low
paper_136,specification,low
paper_136,inference,medium
paper_136,sample_period,low
paper_136,concurrent_policies,low
paper_136,robustness_placebo,high
paper_136,data_measurement,low
paper_14,parallel_trends,low
paper_14,no_anticipation,low
paper_14,treatment_timing,low
paper_14,treatment_definition_sutva,low
paper_14,control_group,low
paper_14,specification,low
paper_14,inference,low
paper_14,sample_period,low
paper_14,concurrent_policies,low
paper_14,robustness_placebo,low
paper_14,data_measurement,low
paper_145,parallel_trends,low
paper_145,no_anticipation,low
paper_145,treatment_timing,low
paper_145,treatment_definition_sutva,low
paper_145,control_group,low
paper_145,specification,low
paper_145,inference,low
paper_145,sample_period,low
paper_145,concurrent_policies,low
paper_145,robustness_placebo,medium
paper_145,data_measurement,low
paper_15,parallel_trends,low
paper_15,no_anticipation,low
paper_15,treatment_timing,low
paper_15,treatment_definition_sutva,low
paper_15,control_group,low
paper_15,specification,low
paper_15,inference,medium
paper_15,sample_period,low
paper_15,concurrent_policies,low
paper_15,robustness_placebo,low
paper_15,data_measurement,low
paper_156,parallel_trends,low
paper_156,no_anticipation,low
paper_156,treatment_timing,low
paper_156,treatment_definition_sutva,medium
paper_156,control_group,low
paper_156,specification,low
paper_156,inference,low
paper_156,sample_period,low
paper_156,concurrent_policies,low
paper_156,robustness_placebo,low
paper_156,data_measurement,low
paper_157,parallel_trends,low
paper_157,no_anticipation,low
paper_157,treatment_timing,low
paper_157,treatment_definition_sutva,medium
paper_157,control_group,low
paper_157,specification,low
paper_157,inference,low
paper_157,sample_period,low
paper_157,concurrent_policies,low
paper_157,robustness_placebo,high
paper_157,data_measurement,low
paper_158,parallel_trends,low
paper_158,no_anticipation,high
paper_158,treatment_timing,low
paper_158,treatment_definition_sutva,medium
paper_158,control_group,low
paper_158,specification,low
paper_158,inference,low
paper_158,sample_period,low
paper_158,concurrent_policies,low
paper_158,robustness_placebo,high
paper_158,data_measurement,low
paper_164,parallel_trends,low
paper_164,no_anticipation,low
paper_164,treatment_timing,low
paper_164,treatment_definition_sutva,low
paper_164,control_group,low
paper_164,specification,low
paper_164,inference,low
paper_164,sample_period,low
paper_164,concurrent_policies,low
paper_164,robustness_placebo,low
paper_164,data_measurement,low
paper_165,parallel_trends,low
paper_165,no_anticipation,low
paper_165,treatment_timing,low
paper_165,treatment_definition_sutva,low
paper_165,control_group,low
paper_165,specification,low
paper_165,inference,low
paper_165,sample_period,low
paper_165,concurrent_policies,low
paper_165,robustness_placebo,low
paper_165,data_measurement,low
