paper_id,dimension,risk
paper_01,parallel_trends,unknown
paper_01,no_anticipation,unknown
paper_01,treatment_timing,unknown
paper_01,treatment_definition_sutva,unknown
paper_01,control_group,unknown
paper_01,specification,high
paper_01,inference,high
paper_01,sample_period,high
paper_01,concurrent_policies,unknown
paper_01,robustness_placebo,unknown
paper_01,data_measurement,medium
paper_03,parallel_trends,medium
paper_03,no_anticipation,medium
paper_03,treatment_timing,high
paper_03,treatment_definition_sutva,high
paper_03,control_group,unknown
paper_03,specification,high
paper_03,inference,high
paper_03,sample_period,high
paper_03,concurrent_policies,high
paper_03,robustness_placebo,unknown
paper_03,data_measurement,high
paper_07,parallel_trends,unknown
paper_07,no_anticipation,high
paper_07,treatment_timing,unknown
paper_07,treatment_definition_sutva,high
paper_07,control_group,high
paper_07,specification,high
paper_07,inference,unknown
paper_07,sample_period,high
paper_07,concurrent_policies,unknown
paper_07,robustness_placebo,unknown
paper_07,data_measurement,medium
paper_08,parallel_trends,unknown
paper_08,no_anticipation,unknown
paper_08,treatment_timing,unknown
paper_08,treatment_definition_sutva,unknown
paper_08,control_group,unknown
paper_08,specification,medium
paper_08,inference,unknown
paper_08,sample_period,medium
paper_08,concurrent_policies,high
paper_08,robustness_placebo,unknown
paper_08,data_measurement,high
paper_10,parallel_trends,high
paper_10,no_anticipation,medium
paper_10,treatment_timing,high
paper_10,treatment_definition_sutva,high
paper_10,control_group,low
paper_10,specification,high
paper_10,inference,medium
paper_10,sample_period,high
paper_10,concurrent_policies,high
paper_10,robustness_placebo,unknown
paper_10,data_measurement,high
paper_100,parallel_trends,unknown
paper_100,no_anticipation,unknown
paper_100,treatment_timing,unknown
paper_100,treatment_definition_sutva,high
paper_100,control_group,high
paper_100,specification,unknown
paper_100,inference,high
paper_100,sample_period,high
paper_100,concurrent_policies,high
paper_100,robustness_placebo,unknown
paper_100,data_measurement,unknown
paper_101,parallel_trends,unknown
paper_101,no_anticipation,unknown
paper_101,treatment_timing,unknown
paper_101,treatment_definition_sutva,high
paper_101,control_group,high
paper_101,specification,medium
paper_101,inference,high
paper_101,sample_period,medium
paper_101,concurrent_policies,high
paper_101,robustness_placebo,unknown
paper_101,data_measurement,high
paper_102,parallel_trends,unknown
paper_102,no_anticipation,unknown
paper_102,treatment_timing,unknown
paper_102,treatment_definition_sutva,high
paper_102,control_group,high
paper_102,specification,medium
paper_102,inference,unknown
paper_102,sample_period,medium
paper_102,concurrent_policies,high
paper_102,robustness_placebo,unknown
paper_102,data_measurement,high
paper_107,parallel_trends,high
paper_107,no_anticipation,medium
paper_107,treatment_timing,high
paper_107,treatment_definition_sutva,unknown
paper_107,control_group,high
paper_107,specification,medium
paper_107,inference,medium
paper_107,sample_period,high
paper_107,concurrent_policies,high
paper_107,robustness_placebo,unknown
paper_107,data_measurement,high
paper_113,parallel_trends,unknown
paper_113,no_anticipation,unknown
paper_113,treatment_timing,high
paper_113,treatment_definition_sutva,high
paper_113,control_group,high
paper_113,specification,medium
paper_113,inference,high
paper_113,sample_period,high
paper_113,concurrent_policies,high
paper_113,robustness_placebo,unknown
paper_113,data_measurement,high
paper_120,parallel_trends,high
paper_120,no_anticipation,unknown
paper_120,treatment_timing,unknown
paper_120,treatment_definition_sutva,high
paper_120,control_group,high
paper_120,specification,medium
paper_120,inference,high
paper_120,sample_period,high
paper_120,concurrent_policies,high
paper_120,robustness_placebo,high
paper_120,data_measurement,medium
paper_124,parallel_trends,unknown
paper_124,no_anticipation,unknown
paper_124,treatment_timing,unknown
paper_124,treatment_definition_sutva,unknown
paper_124,control_group,unknown
paper_124,specification,low
paper_124,inference,unknown
paper_124,sample_period,high
paper_124,concurrent_policies,high
paper_124,robustness_placebo,unknown
paper_124,data_measurement,unknown
paper_126,parallel_trends,unknown
paper_126,no_anticipation,unknown
paper_126,treatment_timing,unknown
paper_126,treatment_definition_sutva,high
paper_126,control_group,medium
paper_126,specification,high
paper_126,inference,unknown
paper_126,sample_period,medium
paper_126,concurrent_policies,unknown
paper_126,robustness_placebo,unknown
paper_126,data_measurement,medium
paper_127,parallel_trends,high
paper_127,no_anticipation,high
paper_127,treatment_timing,high
paper_127,treatment_definition_sutva,high
paper_127,control_group,medium
paper_127,specification,medium
paper_127,inference,unknown
paper_127,sample_period,high
paper_127,concurrent_policies,unknown
paper_127,robustness_placebo,unknown
paper_127,data_measurement,high
paper_128,parallel_trends,unknown
paper_128,no_anticipation,unknown
paper_128,treatment_timing,unknown
paper_128,treatment_definition_sutva,high
paper_128,control_group,unknown
paper_128,specification,high
paper_128,inference,high
paper_128,sample_period,high
paper_128,concurrent_policies,high
paper_128,robustness_placebo,high
paper_128,data_measurement,medium
paper_129,parallel_trends,high
paper_129,no_anticipation,high
paper_129,treatment_timing,unknown
paper_129,treatment_definition_sutva,high
paper_129,control_group,unknown
paper_129,specification,high
paper_129,inference,unknown
paper_129,sample_period,medium
paper_129,concurrent_policies,medium
paper_129,robustness_placebo,unknown
paper_129,data_measurement,high
paper_130,parallel_trends,medium
paper_130,no_anticipation,unknown
paper_130,treatment_timing,unknown
paper_130,treatment_definition_sutva,medium
paper_130,control_group,unknown
paper_130,specification,high
paper_130,inference,medium
paper_130,sample_period,high
paper_130,concurrent_policies,high
paper_130,robustness_placebo,medium
paper_130,data_measurement,unknown
paper_134,parallel_trends,unknown
paper_134,no_anticipation,unknown
paper_134,treatment_timing,unknown
paper_134,treatment_definition_sutva,high
paper_134,control_group,unknown
paper_134,specification,medium
paper_134,inference,unknown
paper_134,sample_period,high
paper_134,concurrent_policies,high
paper_134,robustness_placebo,high
paper_134,data_measurement,high
paper_136,parallel_trends,unknown
paper_136,no_anticipation,unknown
paper_136,treatment_timing,high
paper_136,treatment_definition_sutva,high
paper_136,control_group,high
paper_136,specification,medium
paper_136,inference,high
paper_136,sample_period,high
paper_136,concurrent_policies,high
paper_136,robustness_placebo,unknown
paper_136,data_measurement,high
paper_14,parallel_trends,high
paper_14,no_anticipation,high
paper_14,treatment_timing,unknown
paper_14,treatment_definition_sutva,high
paper_14,control_group,high
paper_14,specification,medium
paper_14,inference,high
paper_14,sample_period,high
paper_14,concurrent_policies,unknown
paper_14,robustness_placebo,high
paper_14,data_measurement,medium
paper_145,parallel_trends,unknown
paper_145,no_anticipation,unknown
paper_145,treatment_timing,unknown
paper_145,treatment_definition_sutva,high
paper_145,control_group,unknown
paper_145,specification,high
paper_145,inference,medium
paper_145,sample_period,low
paper_145,concurrent_policies,high
paper_145,robustness_placebo,unknown
paper_145,data_measurement,medium
paper_15,parallel_trends,high
paper_15,no_anticipation,unknown
paper_15,treatment_timing,high
paper_15,treatment_definition_sutva,medium
paper_15,control_group,high
paper_15,specification,low
paper_15,inference,low
paper_15,sample_period,high
paper_15,concurrent_policies,unknown
paper_15,robustness_placebo,medium
paper_15,data_measurement,medium
paper_156,parallel_trends,high
paper_156,no_anticipation,unknown
paper_156,treatment_timing,high
paper_156,treatment_definition_sutva,unknown
paper_156,control_group,high
paper_156,specification,high
paper_156,inference,unknown
paper_156,sample_period,high
paper_156,concurrent_policies,high
paper_156,robustness_placebo,unknown
paper_156,data_measurement,high
paper_157,parallel_trends,unknown
paper_157,no_anticipation,unknown
paper_157,treatment_timing,unknown
paper_157,treatment_definition_sutva,unknown
paper_157,control_group,unknown
paper_157,specification,high
paper_157,inference,unknown
paper_157,sample_period,high
paper_157,concurrent_policies,high
paper_157,robustness_placebo,unknown
paper_157,data_measurement,high
paper_158,parallel_trends,unknown
paper_158,no_anticipation,unknown
paper_158,treatment_timing,unknown
paper_158,treatment_definition_sutva,high
paper_158,control_group,high
paper_158,specification,high
paper_158,inference,high
paper_158,sample_period,high
paper_158,concurrent_policies,unknown
paper_158,robustness_placebo,unknown
paper_158,data_measurement,unknown
paper_164,parallel_trends,high
paper_164,no_anticipation,unknown
paper_164,treatment_timing,unknown
