paper_id,dimension,risk
paper_01,parallel_trends,high
paper_01,no_anticipation,high
paper_01,treatment_timing,high
paper_01,treatment_definition_sutva,high
paper_01,control_group,high
paper_01,specification,high
paper_01,inference,high
paper_01,sample_period,high
paper_01,concurrent_policies,high
paper_01,robustness_placebo,high
paper_01,data_measurement,medium
paper_03,parallel_trends,medium
paper_03,no_anticipation,medium
paper_03,treatment_timing,medium
paper_03,treatment_definition_sutva,high
paper_03,control_group,medium
paper_03,specification,low
paper_03,inference,medium
paper_03,sample_period,medium
paper_03,concurrent_policies,high
paper_03,robustness_placebo,low
paper_03,data_measurement,low
paper_07,parallel_trends,high
paper_07,no_anticipation,high
paper_07,treatment_timing,medium
paper_07,treatment_definition_sutva,medium
paper_07,control_group,medium
paper_07,specification,medium
paper_07,inference,medium
paper_07,sample_period,medium
paper_07,concurrent_policies,high
paper_07,robustness_placebo,high
paper_07,data_measurement,low
paper_08,parallel_trends,high
paper_08,no_anticipation,high
paper_08,treatment_timing,high
paper_08,treatment_definition_sutva,high
paper_08,control_group,high
paper_08,specification,medium
paper_08,inference,medium
paper_08,sample_period,medium
paper_08,concurrent_policies,high
paper_08,robustness_placebo,high
paper_08,data_measurement,medium
paper_10,parallel_trends,low
paper_10,no_anticipation,low
paper_10,treatment_timing,low
paper_10,treatment_definition_sutva,medium
paper_10,control_group,low
paper_10,specification,low
paper_10,inference,medium
paper_10,sample_period,low
paper_10,concurrent_policies,medium
paper_10,robustness_placebo,medium
paper_10,data_measurement,low
paper_100,parallel_trends,high
paper_100,no_anticipation,high
paper_100,treatment_timing,high
paper_100,treatment_definition_sutva,high
paper_100,control_group,high
paper_100,specification,medium
paper_100,inference,high
paper_100,sample_period,high
paper_100,concurrent_policies,high
paper_100,robustness_placebo,high
paper_100,data_measurement,medium
paper_101,parallel_trends,high
paper_101,no_anticipation,high
paper_101,treatment_timing,medium
paper_101,treatment_definition_sutva,high
paper_101,control_group,medium
paper_101,specification,medium
paper_101,inference,medium
paper_101,sample_period,medium
paper_101,concurrent_policies,high
paper_101,robustness_placebo,high
paper_101,data_measurement,medium
paper_102,parallel_trends,high
paper_102,no_anticipation,unknown
paper_102,treatment_timing,medium
paper_102,treatment_definition_sutva,medium
paper_102,control_group,low
paper_102,specification,medium
paper_102,inference,high
paper_102,sample_period,medium
paper_102,concurrent_policies,medium
paper_102,robustness_placebo,high
paper_102,data_measurement,medium
paper_107,parallel_trends,medium
paper_107,no_anticipation,high
paper_107,treatment_timing,medium
paper_107,treatment_definition_sutva,medium
paper_107,control_group,medium
paper_107,specification,low
paper_107,inference,medium
paper_107,sample_period,medium
paper_107,concurrent_policies,high
paper_107,robustness_placebo,medium
paper_107,data_measurement,low
paper_113,parallel_trends,high
paper_113,no_anticipation,high
paper_113,treatment_timing,high
paper_113,treatment_definition_sutva,medium
paper_113,control_group,medium
paper_113,specification,low
paper_113,inference,medium
paper_113,sample_period,medium
paper_113,concurrent_policies,high
paper_113,robustness_placebo,high
paper_113,data_measurement,low
paper_120,parallel_trends,high
paper_120,no_anticipation,high
paper_120,treatment_timing,medium
paper_120,treatment_definition_sutva,medium
paper_120,control_group,medium
paper_120,specification,low
paper_120,inference,medium
paper_120,sample_period,medium
paper_120,concurrent_policies,high
paper_120,robustness_placebo,medium
paper_120,data_measurement,medium
paper_124,parallel_trends,high
paper_124,no_anticipation,high
paper_124,treatment_timing,high
paper_124,treatment_definition_sutva,high
paper_124,control_group,high
paper_124,specification,medium
paper_124,inference,medium
paper_124,sample_period,medium
paper_124,concurrent_policies,high
paper_124,robustness_placebo,high
paper_124,data_measurement,medium
paper_126,parallel_trends,high
paper_126,no_anticipation,high
paper_126,treatment_timing,high
paper_126,treatment_definition_sutva,medium
paper_126,control_group,low
paper_126,specification,medium
paper_126,inference,medium
paper_126,sample_period,medium
paper_126,concurrent_policies,high
paper_126,robustness_placebo,high
paper_126,data_measurement,low
paper_127,parallel_trends,low
paper_127,no_anticipation,low
paper_127,treatment_timing,medium
paper_127,treatment_definition_sutva,medium
paper_127,control_group,low
paper_127,specification,low
paper_127,inference,medium
paper_127,sample_period,medium
paper_127,concurrent_policies,high
paper_127,robustness_placebo,low
paper_127,data_measurement,low
paper_128,parallel_trends,high
paper_128,no_anticipation,high
paper_128,treatment_timing,high
paper_128,treatment_definition_sutva,medium
paper_128,control_group,medium
paper_128,specification,low
paper_128,inference,medium
paper_128,sample_period,medium
paper_128,concurrent_policies,medium
paper_128,robustness_placebo,high
paper_128,data_measurement,medium
paper_129,parallel_trends,medium
paper_129,no_anticipation,high
paper_129,treatment_timing,medium
paper_129,treatment_definition_sutva,medium
paper_129,control_group,medium
paper_129,specification,medium
paper_129,inference,high
paper_129,sample_period,medium
paper_129,concurrent_policies,low
paper_129,robustness_placebo,medium
paper_129,data_measurement,low
paper_130,parallel_trends,high
paper_130,no_anticipation,low
paper_130,treatment_timing,medium
paper_130,treatment_definition_sutva,medium
paper_130,control_group,medium
paper_130,specification,medium
paper_130,inference,medium
paper_130,sample_period,medium
paper_130,concurrent_policies,medium
paper_130,robustness_placebo,medium
paper_130,data_measurement,low
paper_134,parallel_trends,high
paper_134,no_anticipation,high
paper_134,treatment_timing,medium
paper_134,treatment_definition_sutva,medium
paper_134,control_group,medium
paper_134,specification,low
paper_134,inference,medium
paper_134,sample_period,medium
paper_134,concurrent_policies,medium
paper_134,robustness_placebo,high
paper_134,data_measurement,medium
paper_136,parallel_trends,high
paper_136,no_anticipation,high
paper_136,treatment_timing,high
paper_136,treatment_definition_sutva,medium
paper_136,control_group,medium
paper_136,specification,medium
paper_136,inference,high
paper_136,sample_period,medium
paper_136,concurrent_policies,medium
paper_136,robustness_placebo,high
paper_136,data_measurement,medium
paper_14,parallel_trends,high
paper_14,no_anticipation,medium
paper_14,treatment_timing,high
paper_14,treatment_definition_sutva,medium
paper_14,control_group,medium
paper_14,specification,medium
paper_14,inference,high
paper_14,sample_period,medium
paper_14,concurrent_policies,high
paper_14,robustness_placebo,high
paper_14,data_measurement,low
paper_145,parallel_trends,high
paper_145,no_anticipation,medium
paper_145,treatment_timing,medium
paper_145,treatment_definition_sutva,medium
paper_145,control_group,medium
paper_145,specification,medium
paper_145,inference,medium
paper_145,sample_period,medium
paper_145,concurrent_policies,medium
paper_145,robustness_placebo,high
paper_145,data_measurement,low
paper_15,parallel_trends,medium
paper_15,no_anticipation,low
paper_15,treatment_timing,medium
paper_15,treatment_definition_sutva,low
paper_15,control_group,low
paper_15,specification,low
paper_15,inference,low
paper_15,sample_period,medium
paper_15,concurrent_policies,high
paper_15,robustness_placebo,low
paper_15,data_measurement,low
paper_156,parallel_trends,high
paper_156,no_anticipation,high
paper_156,treatment_timing,high
paper_156,treatment_definition_sutva,high
paper_156,control_group,high
paper_156,specification,high
paper_156,inference,high
paper_156,sample_period,high
paper_156,concurrent_policies,high
paper_156,robustness_placebo,high
paper_156,data_measurement,high
paper_157,parallel_trends,high
paper_157,no_anticipation,high
paper_157,treatment_timing,high
paper_157,treatment_definition_sutva,high
paper_157,control_group,high
paper_157,specification,medium
paper_157,inference,high
paper_157,sample_period,high
paper_157,concurrent_policies,high
paper_157,robustness_placebo,high
paper_157,data_measurement,medium
paper_158,parallel_trends,high
paper_158,no_anticipation,high
paper_158,treatment_timing,high
paper_158,treatment_definition_sutva,high
paper_158,control_group,high
paper_158,specification,medium
paper_158,inference,medium
paper_158,sample_period,medium
paper_158,concurrent_policies,high
